INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Central,64,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Newton,35,BATTERY - SIMPLE ASSAULT,NIGHT CLUB (OPEN EVENINGS ONLY)
Wilshire,34,INTIMATE PARTNER - SIMPLE ASSAULT,"VEHICLE, PASSENGER/TRUCK"
West LA,35,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Rampart,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),GARAGE/CARPORT
Rampart,42,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,49,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Southeast,47,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southeast,24,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Southwest,71,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
Devonshire,58,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Devonshire,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollywood,27,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
Foothill,0,VEHICLE - STOLEN,STREET
N Hollywood,0,VEHICLE - STOLEN,PARKING LOT
Harbor,61,BIKE - STOLEN,DRIVEWAY
Central,58,BURGLARY FROM VEHICLE,STREET
Harbor,0,THEFT PLAIN - PETTY ($950 & UNDER),TRANSIENT ENCAMPMENT
Southwest,21,THEFT PLAIN - PETTY ($950 & UNDER),ALLEY
Wilshire,29,BURGLARY FROM VEHICLE,STREET
Central,0,VEHICLE - STOLEN,STREET
Hollywood,54,TRESPASSING,SINGLE FAMILY DWELLING
Southwest,19,BURGLARY FROM VEHICLE,PARKING LOT
Pacific,68,TRESPASSING,OTHER BUSINESS
Topanga,0,VEHICLE - STOLEN,STREET
Northeast,0,TRESPASSING,OTHER BUSINESS
Rampart,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",DRUG STORE
Northeast,74,VANDALISM - MISDEAMEANOR ($399 OR UNDER),STREET
N Hollywood,62,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",GAS STATION
Mission,31,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Wilshire,65,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Foothill,20,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Newton,32,BURGLARY FROM VEHICLE,OTHER/OUTSIDE
Harbor,69,BURGLARY,SINGLE FAMILY DWELLING
Southwest,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER BUSINESS
Southeast,0,VEHICLE - STOLEN,STREET
Hollywood,24,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,51,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,63,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,27,BURGLARY,PUBLIC STORAGE
Central,0,BURGLARY,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
Devonshire,22,VIOLATION OF COURT ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,0,"BURGLARY, ATTEMPTED",DEPARTMENT STORE
Southwest,37,"THEFT, PERSON",SIDEWALK
Pacific,35,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Wilshire,33,BURGLARY FROM VEHICLE,STREET
Rampart,20,INTIMATE PARTNER - SIMPLE ASSAULT,"PORCH, RESIDENTIAL"
Mission,63,BATTERY - SIMPLE ASSAULT,PARKING LOT
Hollywood,0,VEHICLE - STOLEN,STREET
Foothill,55,OTHER ASSAULT,SINGLE FAMILY DWELLING
Topanga,53,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Hollenbeck,0,VEHICLE - STOLEN,STREET
Newton,29,THEFT PLAIN - PETTY ($950 & UNDER),OTHER BUSINESS
Southwest,31,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Southeast,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Foothill,24,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southeast,20,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Northeast,26,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS
Southeast,28,BURGLARY FROM VEHICLE,STREET
Van Nuys,61,VANDALISM - MISDEAMEANOR ($399 OR UNDER),PARKING UNDERGROUND/BUILDING
Southwest,10,VIOLATION OF COURT ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,15,THEFT PLAIN - PETTY ($950 & UNDER),HIGH SCHOOL
Northeast,25,TRESPASSING,SINGLE FAMILY DWELLING
Southwest,55,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,78,OTHER MISCELLANEOUS CRIME,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,47,BRANDISH WEAPON,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,70,BURGLARY FROM VEHICLE,STREET
Wilshire,39,"THEFT, PERSON",STREET
Hollywood,48,ROBBERY,STREET
Foothill,73,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Southeast,21,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Newton,60,CRIMINAL THREATS - NO WEAPON DISPLAYED,SIDEWALK
Harbor,0,VEHICLE - STOLEN,STREET
Mission,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
Harbor,24,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Foothill,22,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Wilshire,24,THEFT OF IDENTITY,MEDICAL/DENTAL OFFICES
N Hollywood,51,DISTURBING THE PEACE,PARKING LOT
Topanga,35,ROBBERY,MINI-MART
Devonshire,40,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",STREET
Foothill,34,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Southwest,64,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",CLOTHING STORE
Pacific,52,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SIDEWALK
N Hollywood,43,"BURGLARY, ATTEMPTED","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,53,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
N Hollywood,54,BURGLARY FROM VEHICLE,STREET
West Valley,54,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",DRIVEWAY
77th Street,22,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Hollywood,26,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Devonshire,41,"BURGLARY, ATTEMPTED",SINGLE FAMILY DWELLING
77th Street,50,ROBBERY,STREET
Central,27,BURGLARY,OTHER BUSINESS
Northeast,19,"BUNCO, GRAND THEFT",STREET
Southwest,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
West Valley,52,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,44,BATTERY - SIMPLE ASSAULT,OTHER PREMISE
Olympic,26,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Hollywood,63,BURGLARY FROM VEHICLE,STREET
West Valley,23,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,0,VEHICLE - STOLEN,STREET
Newton,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Southeast,9,BATTERY - SIMPLE ASSAULT,PROJECT/TENEMENT/PUBLIC HOUSING
Foothill,14,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING
Wilshire,28,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Hollywood,45,BRANDISH WEAPON,STREET
Hollywood,61,BURGLARY,STREET
77th Street,43,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
N Hollywood,47,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Hollywood,57,BURGLARY,OTHER BUSINESS
Topanga,57,BATTERY - SIMPLE ASSAULT,SIDEWALK
West Valley,0,BURGLARY FROM VEHICLE,STREET
Mission,66,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Harbor,43,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,0,VEHICLE - STOLEN,STREET
Devonshire,50,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Mission,48,THEFT PLAIN - PETTY ($950 & UNDER),"PORCH, RESIDENTIAL"
Southeast,33,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Olympic,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER BUSINESS
Harbor,0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
West Valley,26,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,23,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Mission,35,"BURGLARY, ATTEMPTED",SINGLE FAMILY DWELLING
Hollywood,0,VEHICLE - STOLEN,STREET
Hollywood,68,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,23,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,82,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Pacific,36,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),OTHER RESIDENCE
Southeast,55,TRESPASSING,SINGLE FAMILY DWELLING
Newton,33,BURGLARY FROM VEHICLE,STREET
Southwest,30,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Pacific,27,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS
77th Street,37,OTHER ASSAULT,RESTAURANT/FAST FOOD
Mission,35,BURGLARY FROM VEHICLE,STREET
Van Nuys,25,BURGLARY FROM VEHICLE,STREET
Central,0,VEHICLE - STOLEN,PARKING LOT
Southeast,64,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southeast,34,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
N Hollywood,89,BATTERY - SIMPLE ASSAULT,NURSING/CONVALESCENT/RETIREMENT HOME
Northeast,60,"BUNCO, GRAND THEFT",SINGLE FAMILY DWELLING
Harbor,0,FAILURE TO YIELD,STREET
West LA,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER STORE
Olympic,34,"THEFT, PERSON","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,33,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
Olympic,0,DOCUMENT FORGERY / STOLEN FELONY,OTHER BUSINESS
Southwest,36,BATTERY - SIMPLE ASSAULT,MTA BUS
West Valley,0,VEHICLE - STOLEN,STREET
West LA,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",GARAGE/CARPORT
Wilshire,66,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,87,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,37,BIKE - STOLEN,SINGLE FAMILY DWELLING
Southwest,0,VEHICLE - STOLEN,STREET
77th Street,44,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER/OUTSIDE
Southwest,39,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Newton,24,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Pacific,0,VEHICLE - STOLEN,GARAGE/CARPORT
Harbor,72,BATTERY - SIMPLE ASSAULT,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
77th Street,22,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
West Valley,41,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
77th Street,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Foothill,36,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Van Nuys,56,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",NURSERY/FLOWER SHOP
Rampart,10,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,49,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Van Nuys,28,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,36,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY
Mission,40,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Rampart,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",HOSPITAL
Mission,46,BURGLARY FROM VEHICLE,STREET
Harbor,21,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Pacific,31,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
77th Street,23,BURGLARY FROM VEHICLE,STREET
N Hollywood,34,SHOPLIFTING - PETTY THEFT ($950 & UNDER),BEAUTY SUPPLY STORE
Mission,45,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Devonshire,0,ROBBERY,OTHER BUSINESS
Hollenbeck,22,INTIMATE PARTNER - AGGRAVATED ASSAULT,OTHER RESIDENCE
Devonshire,0,VEHICLE - STOLEN,STREET
77th Street,0,VEHICLE - STOLEN,STREET
Devonshire,0,VEHICLE - STOLEN,STREET
Newton,0,FAILURE TO YIELD,STREET
Harbor,58,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
77th Street,27,VANDALISM - MISDEAMEANOR ($399 OR UNDER),STREET
Hollywood,32,BIKE - STOLEN,GARAGE/CARPORT
Central,49,THEFT PLAIN - PETTY ($950 & UNDER),LA UNION STATION (NOT LINE SPECIFIC)
Hollywood,34,CRIMINAL THREATS - NO WEAPON DISPLAYED,SIDEWALK
Pacific,0,VEHICLE - STOLEN,STREET
Devonshire,45,BATTERY - SIMPLE ASSAULT,PARKING LOT
Harbor,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),WAREHOUSE
Southeast,17,ROBBERY,STREET
Rampart,26,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,0,VEHICLE - STOLEN,STREET
77th Street,24,OTHER MISCELLANEOUS CRIME,SINGLE FAMILY DWELLING
West Valley,51,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Van Nuys,30,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER/OUTSIDE
Central,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),GAS STATION
Harbor,31,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,VEHICLE - STOLEN,STREET
77th Street,0,BURGLARY,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
West LA,29,BATTERY - SIMPLE ASSAULT,PARKING LOT
West LA,66,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,52,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
77th Street,19,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Southeast,48,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,0,TILL TAP - PETTY ($950 & UNDER),OTHER BUSINESS
77th Street,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),POLICE FACILITY
N Hollywood,0,PETTY THEFT - AUTO REPAIR,BEAUTY SUPPLY STORE
Newton,0,VEHICLE - STOLEN,PARKING LOT
Devonshire,32,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Southeast,52,ROBBERY,SIDEWALK
Northeast,20,THEFT OF IDENTITY,NIGHT CLUB (OPEN EVENINGS ONLY)
Wilshire,38,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","PORCH, RESIDENTIAL"
77th Street,42,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING
Topanga,57,BURGLARY,SINGLE FAMILY DWELLING
N Hollywood,26,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
N Hollywood,34,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Southeast,32,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,30,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Pacific,69,BURGLARY,GARAGE/CARPORT
West LA,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,35,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET
West LA,28,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,39,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),"VEHICLE, PASSENGER/TRUCK"
Pacific,51,BATTERY - SIMPLE ASSAULT,OTHER PREMISE
West Valley,0,THEFT PLAIN - PETTY ($950 & UNDER),RIVER BED*
West LA,37,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Northeast,45,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Hollywood,0,BURGLARY,OTHER BUSINESS
Harbor,0,VEHICLE - STOLEN,STREET
Pacific,0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),OTHER BUSINESS
West Valley,0,VEHICLE - STOLEN,STREET
Southwest,27,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,27,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,37,THEFT PLAIN - PETTY ($950 & UNDER),HOSPITAL
Northeast,43,ATTEMPTED ROBBERY,STREET
Van Nuys,59,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Pacific,27,INTIMATE PARTNER - SIMPLE ASSAULT,TRANSPORTATION FACILITY (AIRPORT)
Topanga,72,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
West LA,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),STREET
Mission,40,VIOLATION OF RESTRAINING ORDER,STREET
Devonshire,80,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING
Olympic,0,VEHICLE - STOLEN,GARAGE/CARPORT
Southeast,29,BATTERY - SIMPLE ASSAULT,DRIVEWAY
Olympic,0,VEHICLE - STOLEN,GARAGE/CARPORT
Hollenbeck,55,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,36,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,27,BATTERY - SIMPLE ASSAULT,STREET
Foothill,0,VEHICLE - STOLEN,STREET
Van Nuys,21,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Southwest,41,BURGLARY FROM VEHICLE,PARKING LOT
Foothill,46,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
West LA,59,BIKE - STOLEN,GARAGE/CARPORT
Wilshire,35,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,0,VEHICLE - STOLEN,PARKING LOT
West Valley,48,BURGLARY FROM VEHICLE,PARKING LOT
Hollywood,74,OTHER MISCELLANEOUS CRIME,STREET
Pacific,48,DISTURBING THE PEACE,SIDEWALK
Pacific,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",RESTAURANT/FAST FOOD
Foothill,9,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Hollenbeck,0,VEHICLE - STOLEN,STREET
Newton,52,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Topanga,28,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Southeast,35,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),DRIVEWAY
77th Street,0,ROBBERY,MINI-MART
Mission,25,THEFT PLAIN - PETTY ($950 & UNDER),SHOPPING MALL (COMMON AREA)
Pacific,37,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,70,"THEFT, PERSON",DEPARTMENT STORE
West LA,24,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",OTHER PREMISE
Hollywood,34,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",HOTEL
West LA,28,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,40,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,76,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Hollenbeck,20,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Devonshire,59,BIKE - STOLEN,GARAGE/CARPORT
Hollywood,72,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Pacific,0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),DEPARTMENT STORE
Harbor,23,ROBBERY,STREET
Rampart,21,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,19,BURGLARY,ELEMENTARY SCHOOL
Harbor,60,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,58,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Pacific,29,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Van Nuys,20,THEFT OF IDENTITY,STREET
Topanga,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Devonshire,22,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Central,0,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,STREET
Southwest,73,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
Topanga,0,VEHICLE - STOLEN,PARKING LOT
Olympic,32,BURGLARY FROM VEHICLE,PARKING LOT
Harbor,63,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,67,VANDALISM - MISDEAMEANOR ($399 OR UNDER),PARKING LOT
Hollenbeck,26,ATTEMPTED ROBBERY,SIDEWALK
Southwest,20,VIOLATION OF RESTRAINING ORDER,OTHER BUSINESS
Pacific,29,THEFT PLAIN - PETTY ($950 & UNDER),SIDEWALK
Wilshire,39,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,18,"RAPE, ATTEMPTED","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Mission,34,THEFT PLAIN - PETTY ($950 & UNDER),"PORCH, RESIDENTIAL"
Hollenbeck,11,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Pacific,24,INTIMATE PARTNER - SIMPLE ASSAULT,HOTEL
Topanga,36,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Newton,28,"THEFT, PERSON",BUS-CHARTER/PRIVATE
Wilshire,23,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,30,THEFT PLAIN - PETTY ($950 & UNDER),LIBRARY
Olympic,26,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
Hollywood,39,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,44,THEFT PLAIN - PETTY ($950 & UNDER),SIDEWALK
Hollywood,41,BURGLARY FROM VEHICLE,STREET
Topanga,76,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,24,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Central,57,BATTERY - SIMPLE ASSAULT,SIDEWALK
N Hollywood,28,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Mission,22,SHOPLIFTING - PETTY THEFT ($950 & UNDER),GAS STATION
Central,79,ATTEMPTED ROBBERY,SIDEWALK
77th Street,26,VIOLATION OF COURT ORDER,SINGLE FAMILY DWELLING
Southwest,19,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,0,VEHICLE - STOLEN,STREET
Devonshire,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),MINI-MART
West Valley,71,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Devonshire,24,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Hollenbeck,23,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
